ID	oldPatchID	patchType	distance_m	xcor	ycor	size_sqm	quantityPollen_g	Concentration	quantityNectar_l	calc_DetectProb	model_DetectProb	NectarGathering_s	PollenGathering_s	startDay	stopDay	ETOX_ApplicationList_patch	ETOX_ExposurePeriodsList_patch	ETOX_PPPConcNectar_patch	ETOX_PPPConcPollen_patch	ETOX_PPPContact_patch	ETOX_WaterVolume_patch	ETOX_WaterConc_patch	ETOX_RUD_patch
90	90	"BlueField"	4158	-3406.25	-3062.5	66406	132.812	1.5	8.301	0.00014	0.00002	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
91	91	"YellowField"	2945.5	-1187.5	-3062.5	291992	729.98	1.5	145.996	0.00147	0.00108	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
92	92	"RedField"	3279.9	1500	-3406.25	162109	1621.09	2	20.264	0.00069	0.00007	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
93	93	"RedField"	3494.7	-2250	-3031.25	94727	947.27	2	11.841	0.0004	0.00042	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
94	94	"BlueField"	4593.3	-3812.5	-3187.5	135742	271.484	1.5	16.968	0.00011	0	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
95	95	"BlueField"	5133.1	4062.5	-3093.75	977	1.954	1.5	0.122	0	0	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
96	96	"RedField"	3807	-2593.75	-3593.75	212891	2128.91	2	26.611	0.00039	0.00017	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
97	97	"YellowField"	4309	-3625	-3500	275391	688.477	1.5	137.695	0.00023	0.00002	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
98	98	"YellowField"	3066.5	-312.5	-3218.75	217773	544.432	1.5	108.886	0.00108	0.0001	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
99	99	"RedField"	3241.9	906.25	-3343.75	143555	1435.55	2	17.944	0.00069	0	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
100	100	"YellowField"	5051.4	-4156.25	-3250	6836	17.09	1.5	3.418	0.00001	0	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
101	101	"YellowField"	3297.3	500	-3593.75	304688	761.72	1.5	152.344	0.00093	0.00034	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
102	102	"YellowField"	5024.3	-3906.25	-3562.5	14648	36.62	1.5	7.324	0.00002	0	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
103	103	"YellowField"	3426.8	-1156.25	-3562.5	218750	546.875	1.5	109.375	0.00066	0.00007	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
104	104	"YellowField"	3396.1	-812.5	-3750	58594	146.485	1.5	29.297	0.00036	0.00002	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
105	105	"RedField"	3652.1	1343.75	-3468.75	9766	97.66	2	1.221	0.0001	0	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
106	106	"RedField"	3988.3	-2312.5	-3625	83984	839.84	2	10.498	0.0002	0.00005	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
107	107	"YellowField"	3480.1	156.25	-3593.75	6836	17.09	1.5	3.418	0.00011	0.00002	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
108	108	"RedField"	4255.6	-2593.75	-3843.75	88867	888.67	2	11.108	0.00014	0	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
109	109	"YellowField"	4973.1	-3718.75	-3781.25	12695	31.737	1.5	6.347	0.00002	0	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
110	110	"YellowField"	3597.1	-312.5	-3781.25	42969	107.422	1.5	21.484	0.00023	0	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
111	111	"YellowField"	3593.8	-93.75	-3718.75	12695	31.737	1.5	6.347	0.00013	0	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
112	112	"RedField"	3866	1218.75	-3750	2930	29.3	2	0.366	0.00004	0	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
113	113	"YellowField"	3734.6	406.25	-3875	27344	68.36	1.5	13.672	0.00016	0	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
114	114	"YellowField"	3850.9	875	-3875	8789	21.972	1.5	4.394	0.00008	0	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
